,ID,name,address,rating,rating_number,price_level,lat,lng,open,Sun_open,Sun_close,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thur_open,Thur_close,Fri_open,Fri_close,Sat_open,Sat_close,url,wifi,time_limit,outlet,nearest_bus,bus_distance,nearest_station,station_distance
50,ChIJf6FaKTirQjQRVWaZiD55weI,Oguri Coffee 小栗原珈琲 · 咖啡,"No. 221號, Songshan Rd, Yongchun Village, Xinyi District, Taipei City, Taiwan 110",4.6,373,,25.044913,121.577973,True,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,https://maps.google.com/?cid=16339474232563557973,,,yes,永吉松山路口,12.216894268740091,後山埤,439.32479194533227
51,ChIJ9ToZ2JKrQjQRQ3vAM8GGvls,J12 Café,"No. 324號, Yanshou St, Ziqiang Village, Songshan District, Taipei City, Taiwan 105",4.1,524,2.0,25.0564663,121.5610523,True,08:00:00,18:30:00,08:00:00,18:30:00,08:00:00,18:30:00,08:00:00,18:30:00,08:00:00,18:30:00,08:00:00,18:30:00,08:00:00,18:30:00,https://maps.google.com/?cid=6610869467381529411,,,,民生社區活動中心,238.20082748334067,南京三民,647.5334066860764
53,ChIJk26mBvipQjQRJa9nZYSYXvo,Moon Baking studio 松山店,"No. 47號, Lane 313, Fuxing N Rd, Minyou Village, Songshan District, Taipei City, Taiwan 105",4.2,1162,,25.0590469,121.5471484,True,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,https://maps.google.com/?cid=18041024851697184549,,,,民生敦化路口,135.39515440991485,松山機場,634.9686344415261
55,ChIJ85whEZurQjQR5oeX9Aq3e2Q,夏綠沁私房義大利麵燉飯,"No. 37號, Lane 244, Dunhua N Rd, Minyou Village, Songshan District, Taipei City, Taiwan 105",4.8,887,2.0,25.0610134,121.5476114,True,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,https://maps.google.com/?cid=7240582083609331686,,,,民權敦化路口,113.89651026976267,松山機場,464.5316552792367
56,ChIJBy9WAHyrQjQRCDU8Cp-PLAc,子木咖啡,"No. 412號, Yanshou St, Longtian Village, Songshan District, Taipei City, Taiwan 105",4.5,184,,25.0562207,121.5568432,True,10:15:00,16:30:00,08:00:00,16:30:00,08:00:00,17:00:00,,,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,https://maps.google.com/?cid=516945970475054344,,,,松山新城,143.51425029749439,台北小巨蛋,737.0062753859062
58,ChIJAabYBY2rQjQRkkSSkK9SiIU,Joe’s Cafe,"No. 464號, Fujin St, Sanmin Village, Songshan District, Taipei City, Taiwan 105",4.6,455,2.0,25.060761,121.56233,True,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,,,,,11:00:00,18:00:00,11:00:00,18:00:00,https://maps.google.com/?cid=9622031517875324050,,,yes,廣合新村,105.01446317477708,南京三民,1052.9150901808714
60,ChIJOSbdSz2rQjQRtqbdUdBUfr8,Buna Cafe,"110, Taiwan, Taipei City, Xinyi District, Tonghua Village, 信義路四段415之3號",4.6,3730,2.0,25.0331987,121.5594265,True,08:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,08:00:00,00:00:00,https://maps.google.com/?cid=13798559562013189814,yes,,,世貿中心(基隆路),40.58419728092318,台北101/世貿,305.63341707390435
61,ChIJwcX3otarQjQRIitJYrhT0do,Snob Cafe｜早午餐｜可頌專賣,"No. 21號, Lane 147, Section 1, Keelung Rd, Xingya Village, Xinyi District, Taipei City, Taiwan 110",4.4,355,,25.0424935,121.5666933,True,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,https://maps.google.com/?cid=15767475821788867362,,,,捷運市政府站,135.22931623249227,市政府,162.65653424261095
62,ChIJfZJaTwCrQjQRrSgCZr0uiiU,KA sky coffee,"110, Taiwan, Taipei City, Xinyi District, Ankang Village, Songgao Rd, 77號33樓",4.1,785,,25.0393334,121.5703448,True,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,https://maps.google.com/?cid=2705025917184518317,yes,,,中油大樓,99.25639850798498,市政府,472.2851764816706
63,ChIJsyDAErKrQjQRbhOuAcwyZ3k,kafeD Shin Kong Mitsukoshi Taipei Xinyi A8 Shop,"110420, Taiwan, Taipei City, Xinyi District, Xicun Village, Songgao Rd, 12號號 B2",4.4,265,,25.0380379,121.5666758,True,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,22:00:00,11:00:00,22:00:00,https://maps.google.com/?cid=8748016652973380462,,,,消防局 (松仁),180.74902318495268,市政府,347.2344196575901
65,ChIJtSXHJ4OrQjQR5j2AYLItRkU,象山日光珈琲 Sunshine Cafe,"110, Taiwan, Taipei City, Xinyi District, Sanli Village, 信義路五段150巷22弄55號",4.6,967,2.0,25.0273234,121.5703862,True,10:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,10:00:00,20:00:00,https://maps.google.com/?cid=4991727481133219302,,yes,,吳興國小(松仁),200.7380414494827,象山,617.4175983801582
66,ChIJO5-t8OqrQjQR15iDdqhDAxw,Ogawa Cafe,"No. 39號, Wuxing St, Jinglian Village, Xinyi District, Taipei City, Taiwan 110",4.7,239,,25.0313029,121.5600607,True,10:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,10:00:00,17:00:00,https://maps.google.com/?cid=2018531448814016727,,,yes,世貿中心(莊敬),117.54177830212849,台北101/世貿,303.985890271756
